GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADMIN2PCOD;POP2018
MLI;Mali;Kidal;MLI.4_1;Abeïbara;Cercle;MLI.4.1_1;ML.KD.AB;ML0801;12690
MLI;Mali;Gao;MLI.2_1;Ansongo;Cercle;MLI.2.1_1;ML.GA.AN;ML0701;162637
MLI;Mali;Kayes;MLI.3_1;Bafoulabé;Cercle;MLI.3.1_1;ML.KY.BF;ML0101;287979
MLI;Mali;Bamako;MLI.1_1;Bamako;Cercle;MLI.1.1_1;ML.BA.BM;ML0901;2231344
MLI;Mali;Koulikoro;MLI.5_1;Banamba;Cercle;MLI.5.1_1;ML.KK.BB;ML0201;235421
MLI;Mali;Mopti;MLI.6_1;Bandiagara;Cercle;MLI.6.1_1;ML.MO.BD;ML0501;386346
MLI;Mali;Mopti;MLI.6_1;Bankass;Cercle;MLI.6.2_1;ML.MO.BK;ML0502;326346
MLI;Mali;Ségou;MLI.7_1;Barouéli;Cercle;MLI.7.1_1;ML.SG.BR;ML0401;250040
MLI;Mali;Ségou;MLI.7_1;Bla;Cercle;MLI.7.2_1;ML.SG.BL;ML0402;349644
MLI;Mali;Sikasso;MLI.8_1;Bougouni;Cercle;MLI.8.1_1;ML.SK.BG;ML0301;565175
MLI;Mali;Gao;MLI.2_1;Bourem;Cercle;MLI.2.2_1;ML.GA.BO;ML0702;143418
MLI;Mali;Kayes;MLI.3_1;Diéma;Cercle;MLI.3.2_1;ML.KY.DM;ML0102;261017
MLI;Mali;Koulikoro;MLI.5_1;Dioïla;Cercle;MLI.5.2_1;ML.KK.DL;ML0202;602633
MLI;Mali;Timbuktu;MLI.9_1;Diré;Cercle;MLI.9.1_1;ML.TB.DR;ML0601;135161
MLI;Mali;Mopti;MLI.6_1;Djenné;Cercle;MLI.6.3_1;ML.MO.DJ;ML0503;256877
MLI;Mali;Mopti;MLI.6_1;Douentza;Cercle;MLI.6.4_1;ML.MO.DZ;ML0504;303974
MLI;Mali;Gao;MLI.2_1;Gao;Cercle;MLI.2.3_1;ML.GA.GA;ML0703;295236
MLI;Mali;Timbuktu;MLI.9_1;Goundam;Cercle;MLI.9.2_1;ML.TB.GD;ML0602;186519
MLI;Mali;Timbuktu;MLI.9_1;Gourma-Rharous;Cercle;MLI.9.3_1;ML.TB.GR;ML0603;136852
MLI;Mali;Sikasso;MLI.8_1;Kadiolo;Cercle;MLI.8.2_1;ML.SK.KD;ML0302;300013
MLI;Mali;Koulikoro;MLI.5_1;Kangaba;Cercle;MLI.5.3_1;ML.KK.KG;ML0203;123744
MLI;Mali;Koulikoro;MLI.5_1;Kati;Cercle;MLI.5.4_1;ML.KK.KT;ML0204;1179233
MLI;Mali;Kayes;MLI.3_1;Kayes;Cercle;MLI.3.3_1;ML.KY.KY;ML0103;632503
MLI;Mali;Kayes;MLI.3_1;Kéniéba;Cercle;MLI.3.4_1;ML.KY.KN;ML0104;242871
MLI;Mali;Kidal;MLI.4_1;Kidal;Cercle;MLI.4.2_1;ML.KD.KL;ML0802;41248
MLI;Mali;Kayes;MLI.3_1;Kita;Cercle;MLI.3.5_1;ML.KY.KI;ML0105;533110
MLI;Mali;Koulikoro;MLI.5_1;Kolokani;Cercle;MLI.5.5_1;ML.KK.KO;ML0205;286565
MLI;Mali;Sikasso;MLI.8_1;Kolondiéba;Cercle;MLI.8.3_1;ML.SK.KB;ML0303;248309
MLI;Mali;Mopti;MLI.6_1;Koro;Cercle;MLI.6.5_1;ML.MO.KR;ML0505;446902
MLI;Mali;Koulikoro;MLI.5_1;Koulikoro;Cercle;MLI.5.6_1;ML.KK.KK;ML0206;259586
MLI;Mali;Sikasso;MLI.8_1;Koutiala;Cercle;MLI.8.4_1;ML.SK.KU;ML0304;715430
MLI;Mali;Ségou;MLI.7_1;Macina;Cercle;MLI.7.3_1;ML.SG.MC;ML0403;290974
MLI;Mali;Gao;MLI.2_1;Ménaka;Cercle;MLI.2.4_1;ML.GA.MN;ML0704;67119
MLI;Mali;Mopti;MLI.6_1;Mopti;Cercle;MLI.6.6_1;ML.MO.MP;ML0506;454689
MLI;Mali;Koulikoro;MLI.5_1;Nara;Cercle;MLI.5.7_1;ML.KK.NA;ML0207;298156
MLI;Mali;Timbuktu;MLI.9_1;Niafunké;Cercle;MLI.9.4_1;ML.TB.NF;ML0604;216239
MLI;Mali;Ségou;MLI.7_1;Niono;Cercle;MLI.7.4_1;ML.SG.NN;ML0404;449717
MLI;Mali;Kayes;MLI.3_1;Nioro;Cercle;MLI.3.6_1;ML.KY.NR;ML0106;282160
MLI;Mali;Ségou;MLI.7_1;San;Cercle;MLI.7.5_1;ML.SG.SN;ML0405;411190
MLI;Mali;Ségou;MLI.7_1;Ségou;Cercle;MLI.7.6_1;ML.SG.SG;ML0406;857987
MLI;Mali;Sikasso;MLI.8_1;Sikasso;Cercle;MLI.8.5_1;ML.SK.SK;ML0305;905895
MLI;Mali;Mopti;MLI.6_1;Ténenkou;Cercle;MLI.6.7_1;ML.MO.TN;ML0507;200810
MLI;Mali;Kidal;MLI.4_1;Tessalit;Cercle;MLI.4.3_1;ML.KD.TS;ML0803;19665
MLI;Mali;Kidal;MLI.4_1;Tin-Essako;Cercle;MLI.4.4_1;ML.KD.TE;ML0804;9887
MLI;Mali;Timbuktu;MLI.9_1;Tombouctou;Cercle;MLI.9.5_1;ML.TB.TB;ML0605;156936
MLI;Mali;Ségou;MLI.7_1;Tominian;Cercle;MLI.7.7_1;ML.SG.TM;ML0407;272550
MLI;Mali;Sikasso;MLI.8_1;Yanfolila;Cercle;MLI.8.6_1;ML.SK.YF;ML0306;262182
MLI;Mali;Kayes;MLI.3_1;Yélimané;Cercle;MLI.3.7_1;ML.KY.YL;ML0107;217564
MLI;Mali;Sikasso;MLI.8_1;Yorosso;Cercle;MLI.8.7_1;ML.SK.YR;ML0307;260812
MLI;Mali;Mopti;MLI.6_1;Youwarou;Cercle;MLI.6.8_1;ML.MO.YW;ML0508;133759
