GID_0;COUNTRY;NAME_1;GID_1;NAME_2;TYPE_2;GID_2;HASC_2;ADMIN2PCOD
SEN;Senegal;Tambacounda;SEN.12_1;Bakel;Département;SEN.12.1_1;SN.TB.BK;SN1201
SEN;Senegal;Diourbel;SEN.2_1;Bambey;Département;SEN.2.1_1;SN.DB.BB;SN0201
SEN;Senegal;Ziguinchor;SEN.14_1;Bignona;Département;SEN.14.1_1;SN.ZG.BG;SN1401
SEN;Senegal;Kaffrine;SEN.4_1;Birkilane;Département;SEN.4.1_1;SN.KF.BR;SN0401
SEN;Senegal;Sédhiou;SEN.11_1;Bounkiling;Département;SEN.11.1_1;SN.SD.BL;SN1101
SEN;Senegal;Saint-Louis;SEN.10_1;Dagana;Département;SEN.10.1_1;SN.ST.DG;SN1001
SEN;Senegal;Dakar;SEN.1_1;Dakar;Département;SEN.1.1_1;SN.DK.DK;SN0101
SEN;Senegal;Diourbel;SEN.2_1;Diourbel;Département;SEN.2.2_1;SN.DB.DB;SN0202
SEN;Senegal;Fatick;SEN.3_1;Fatick;Département;SEN.3.1_1;SN.FK.FK;SN0301
SEN;Senegal;Fatick;SEN.3_1;Foundiougne;Département;SEN.3.2_1;SN.FK.FD;SN0302
SEN;Senegal;Fatick;SEN.3_1;Gossas;Département;SEN.3.3_1;SN.FK.GS;SN0303
SEN;Senegal;Tambacounda;SEN.12_1;Goudiry;Département;SEN.12.2_1;SN.TB.GY;SN1202
SEN;Senegal;Sédhiou;SEN.11_1;Goudomp;Département;SEN.11.2_1;SN.SD.GP;SN1102
SEN;Senegal;Dakar;SEN.1_1;Guédiawaye;Département;SEN.1.2_1;SN.DK.GD;SN0102
SEN;Senegal;Kaolack;SEN.5_1;Guinguinéo;Département;SEN.5.1_1;SN.KC.GG;SN0501
SEN;Senegal;Kaffrine;SEN.4_1;Kaffrine;Département;SEN.4.2_1;SN.KF.KF;SN0402
SEN;Senegal;Matam;SEN.9_1;Kanel;Département;SEN.9.1_1;SN.MT.KN;SN0901
SEN;Senegal;Kaolack;SEN.5_1;Kaolack;Département;SEN.5.2_1;SN.KC.KL;SN0502
SEN;Senegal;Louga;SEN.8_1;Kébémer;Département;SEN.8.1_1;SN.LG.KB;SN0801
SEN;Senegal;Kédougou;SEN.6_1;Kédougou;Département;SEN.6.1_1;SN.KG.KG;SN0601
SEN;Senegal;Kolda;SEN.7_1;Kolda;Département;SEN.7.1_1;SN.KO.KD;SN0701
SEN;Senegal;Kaffrine;SEN.4_1;Koungheul;Département;SEN.4.3_1;SN.KC.KU;SN0403
SEN;Senegal;Tambacounda;SEN.12_1;Koupentoum;Département;SEN.12.3_1;SN.TB.KP;SN1203
SEN;Senegal;Louga;SEN.8_1;Linguère;Département;SEN.8.2_1;SN.LG.LN;SN0802
SEN;Senegal;Louga;SEN.8_1;Louga;Département;SEN.8.3_1;SN.LG.LG;SN0803
SEN;Senegal;Kaffrine;SEN.4_1;Malème Hodar;Département;SEN.4.4_1;SN.KF.MH;SN0404
SEN;Senegal;Matam;SEN.9_1;Matam;Département;SEN.9.2_1;SN.MT.MT;SN0902
SEN;Senegal;Diourbel;SEN.2_1;Mbacké;Département;SEN.2.3_1;SN.DB.MK;SN0203
SEN;Senegal;Thiès;SEN.13_1;Mbour;Département;SEN.13.1_1;SN.TH.MR;SN1301
SEN;Senegal;Kolda;SEN.7_1;Médina Yoro Foula;Département;SEN.7.2_1;SN.KO.YF;SN0702
SEN;Senegal;Kaolack;SEN.5_1;Nioro du Rip;Département;SEN.5.3_1;SN.KC.NR;SN0503
SEN;Senegal;Ziguinchor;SEN.14_1;Oussouye;Département;SEN.14.2_1;SN.ZG.OU;SN1402
SEN;Senegal;Dakar;SEN.1_1;Pikine;Département;SEN.1.3_1;SN.DK.PK;SN0103
SEN;Senegal;Saint-Louis;SEN.10_1;Podor;Département;SEN.10.2_1;SN.ST.PD;SN1002
SEN;Senegal;Matam;SEN.9_1;Ranérou Ferlo;Département;SEN.9.3_1;SN.MT.RN;SN0903
SEN;Senegal;Dakar;SEN.1_1;Rufisque;Département;SEN.1.4_1;SN.DK.RF;SN0104
SEN;Senegal;Saint-Louis;SEN.10_1;Saint-Louis;Département;SEN.10.3_1;SN.ST.SL;SN1003
SEN;Senegal;Kédougou;SEN.6_1;Salémata;Département;SEN.6.2_1;SN.KG.SM;SN0602
SEN;Senegal;Kédougou;SEN.6_1;Saraya;Département;SEN.6.3_1;SN.KG.SY;SN0603
SEN;Senegal;Sédhiou;SEN.11_1;Sédhiou;Département;SEN.11.3_1;SN.SD.SD;SN1103
SEN;Senegal;Tambacounda;SEN.12_1;Tambacounda;Département;SEN.12.4_1;SN.TB.TC;SN1204
SEN;Senegal;Thiès;SEN.13_1;Thiès;Département;SEN.13.2_1;SN.TH.TH;SN1302
SEN;Senegal;Thiès;SEN.13_1;Tivaouane;Département;SEN.13.3_1;SN.TH.TV;SN1303
SEN;Senegal;Kolda;SEN.7_1;Vélingara;Département;SEN.7.3_1;SN.KO.VL;SN0703
SEN;Senegal;Ziguinchor;SEN.14_1;Ziguinchor;Département;SEN.14.3_1;SN.ZG.ZG;SN1403
